"GEOID","NAME","B03003_001E","B03003_001M","B03003_003E","B03003_003M","type","pct","moe"
"34015501001","Census Tract 5010.01, Gloucester County, New Jersey",2196,183,284,136,"trct",0.129326047358834,6.09858549712376
"34015501002","Census Tract 5010.02, Gloucester County, New Jersey",4119,367,779,273,"trct",0.189123573682933,6.41003442457765
"34015501003","Census Tract 5010.03, Gloucester County, New Jersey",3709,312,160,91,"trct",0.0431383122135346,2.42650777220363
"34015501101","Census Tract 5011.01, Gloucester County, New Jersey",4349,292,625,195,"trct",0.143711197976546,4.37873585358403
"34015501102","Census Tract 5011.02, Gloucester County, New Jersey",6701,388,413,200,"trct",0.0616325921504253,2.96321774818129
"34015501103","Census Tract 5011.03, Gloucester County, New Jersey",5013,301,346,329,"trct",0.0690205465788949,6.54983852292119
"34015501104","Census Tract 5011.04, Gloucester County, New Jersey",3145,228,155,136,"trct",0.0492845786963434,4.30953850664784
"34015501105","Census Tract 5011.05, Gloucester County, New Jersey",3049,288,119,71,"trct",0.0390291898983273,2.2992649390384
"34015501106","Census Tract 5011.06, Gloucester County, New Jersey",3912,318,206,209,"trct",0.0526584867075665,5.32536008406021
"34015501107","Census Tract 5011.07, Gloucester County, New Jersey",4421,251,220,138,"trct",0.0497624971725854,3.10865380739469
"34015501201","Census Tract 5012.01, Gloucester County, New Jersey",6211,298,148,88,"trct",0.0238286910320399,1.41222081801525
"34015501202","Census Tract 5012.02, Gloucester County, New Jersey",4661,202,66,71,"trct",0.0141600514910963,1.52204163219543
"34015501203","Census Tract 5012.03, Gloucester County, New Jersey",3162,190,4,7,"trct",0.00126502213788741,0.22124833472942
"34015501204","Census Tract 5012.04, Gloucester County, New Jersey",3875,191,79,62,"trct",0.0203870967741935,1.59684126627666
"34015501205","Census Tract 5012.05, Gloucester County, New Jersey",2855,111,123,70,"trct",0.0430823117338004,2.44611068907694
"34015501206","Census Tract 5012.06, Gloucester County, New Jersey",3629,279,290,144,"trct",0.0799118214384128,3.9201857654741
"34015501208","Census Tract 5012.08, Gloucester County, New Jersey",4052,258,82,95,"trct",0.0202369200394867,2.34097771520193
"34015501209","Census Tract 5012.09, Gloucester County, New Jersey",7644,463,618,348,"trct",0.0808477237048666,4.52617655984182
"34015501210","Census Tract 5012.10, Gloucester County, New Jersey",3660,243,52,58,"trct",0.014207650273224,1.58188947371212
"34015501212","Census Tract 5012.12, Gloucester County, New Jersey",3750,205,280,149,"trct",0.0746666666666667,3.95231181455944
"34015501213","Census Tract 5012.13, Gloucester County, New Jersey",4802,229,256,182,"trct",0.053311120366514,3.78155110994003
"34015501301","Census Tract 5013.01, Gloucester County, New Jersey",3586,148,68,59,"trct",0.018962632459565,1.6434248225231
"34015501302","Census Tract 5013.02, Gloucester County, New Jersey",2807,178,61,52,"trct",0.0217313858211614,1.84737893409224
"34015501303","Census Tract 5013.03, Gloucester County, New Jersey",2523,211,19,29,"trct",0.00753071739992073,1.14769858017115
"34015501402","Census Tract 5014.02, Gloucester County, New Jersey",3388,376,434,227,"trct",0.128099173553719,6.54755765150155
"34015501403","Census Tract 5014.03, Gloucester County, New Jersey",3752,341,233,115,"trct",0.0621002132196162,3.01261965157351
"34015501404","Census Tract 5014.04, Gloucester County, New Jersey",3097,364,234,83,"trct",0.0755569906360995,2.52860551014157
"34015501405","Census Tract 5014.05, Gloucester County, New Jersey",4033,276,228,162,"trct",0.0565335978180015,3.9981855399668
"34015501406","Census Tract 5014.06, Gloucester County, New Jersey",4925,375,912,332,"trct",0.185177664974619,6.59201070931916
"34015501500","Census Tract 5015, Gloucester County, New Jersey",8386,23,341,177,"trct",0.0406630097782018,2.11063116031367
"34015501603","Census Tract 5016.03, Gloucester County, New Jersey",6386,316,304,277,"trct",0.0476041340432195,4.33121256559166
"34015501604","Census Tract 5016.04, Gloucester County, New Jersey",7355,427,275,95,"trct",0.0373895309313392,1.27326792783031
"34015501605","Census Tract 5016.05, Gloucester County, New Jersey",4731,289,247,181,"trct",0.0522088353413655,3.81251348561739
"34015501606","Census Tract 5016.06, Gloucester County, New Jersey",7113,454,449,265,"trct",0.0631238577252917,3.70372319433044
"34015501608","Census Tract 5016.08, Gloucester County, New Jersey",5266,362,528,232,"trct",0.100265856437524,4.35137010051626
"34015501609","Census Tract 5016.09, Gloucester County, New Jersey",5916,308,348,214,"trct",0.0588235294117647,3.60432189890825
"34015501701","Census Tract 5017.01, Gloucester County, New Jersey",5276,222,105,69,"trct",0.0199014404852161,1.30512522785293
"34015501702","Census Tract 5017.02, Gloucester County, New Jersey",2523,135,162,114,"trct",0.0642092746730083,4.5053494663317
"34015501703","Census Tract 5017.03, Gloucester County, New Jersey",4265,280,391,280,"trct",0.0916764361078546,6.53741799806195
"34015501704","Census Tract 5017.04, Gloucester County, New Jersey",4575,281,528,271,"trct",0.115409836065574,5.88093045295339
"34015501800","Census Tract 5018, Gloucester County, New Jersey",1668,93,98,52,"trct",0.0587529976019185,3.10024760214306
"34015501900","Census Tract 5019, Gloucester County, New Jersey",4134,28,74,55,"trct",0.0179003386550556,1.3303753318026
"34015502001","Census Tract 5020.01, Gloucester County, New Jersey",5576,234,278,209,"trct",0.0498565279770445,3.74236252943525
"34015502002","Census Tract 5020.02, Gloucester County, New Jersey",7228,227,242,202,"trct",0.033480907581627,2.79270853377127
"34015502100","Census Tract 5021, Gloucester County, New Jersey",3203,24,171,125,"trct",0.0533874492663128,3.90238629163955
"34015502200","Census Tract 5022, Gloucester County, New Jersey",11886,47,468,199,"trct",0.0393740535083291,1.67416620536882
"34015502300","Census Tract 5023, Gloucester County, New Jersey",2606,24,424,196,"trct",0.162701458173446,7.51961238883126
"34015502400","Census Tract 5024, Gloucester County, New Jersey",5995,25,371,251,"trct",0.0618849040867389,4.18674281652103
"34021000100","Census Tract 1, Mercer County, New Jersey",3225,373,1822,362,"trct",0.564961240310078,9.12685345689619
"34021000200","Census Tract 2, Mercer County, New Jersey",3796,515,2090,438,"trct",0.550579557428873,8.79432794015518
"34021000300","Census Tract 3, Mercer County, New Jersey",4399,533,1921,473,"trct",0.43669015685383,9.36051384290563
"34021000400","Census Tract 4, Mercer County, New Jersey",4849,534,3404,495,"trct",0.702000412456177,6.66658627383379
"34021000500","Census Tract 5, Mercer County, New Jersey",4291,483,2882,526,"trct",0.671638312747611,9.64933318698198
"34021000600","Census Tract 6, Mercer County, New Jersey",4846,662,2726,698,"trct",0.562525794469666,12.1824746289396
"34021000700","Census Tract 7, Mercer County, New Jersey",2755,400,1901,437,"trct",0.690018148820327,12.297830962074
"34021000800","Census Tract 8, Mercer County, New Jersey",2237,345,1767,305,"trct",0.789897183728207,6.12294080796878
"34021000900","Census Tract 9, Mercer County, New Jersey",3317,487,1470,403,"trct",0.443171540548689,10.2603634910316
"34021001000","Census Tract 10, Mercer County, New Jersey",2653,515,827,367,"trct",0.311722578213343,12.4397097599026
"34021001101","Census Tract 11.01, Mercer County, New Jersey",2285,301,250,102,"trct",0.109409190371991,4.22483214993145
"34021001102","Census Tract 11.02, Mercer County, New Jersey",3644,519,141,83,"trct",0.0386937431394072,2.21004152315105
"34021001200","Census Tract 12, Mercer County, New Jersey",4212,387,307,173,"trct",0.0728869895536562,4.05234910444702
"34021001300","Census Tract 13, Mercer County, New Jersey",4584,543,324,87,"trct",0.0706806282722513,1.70324901435926
