"GEOID","B01003_001E","B01003_001M","B00001_001E","type","landArea","popDens","popSamp"
"340057014012",5059,351,295,"bg",10.561912218,478.985234451984,5.83119193516505
"340057014021",2117,156,213,"bg",1.9916555373,1062.93480993703,10.0614076523382
"340057015021",2778,296,221,"bg",1.8773514045,1479.74427874353,7.95536357091433
"340057015022",1339,188,114,"bg",0.6460858404,2072.48002706731,8.51381628080657
"340057017001",926,246,89,"bg",0.3499537041,2646.06429122234,9.61123110151188
"340057017002",1064,197,96,"bg",0.2023191027,5259.01897448461,9.02255639097744
"340057017003",726,183,75,"bg",0.1816762662,3996.11911442949,10.3305785123967
"340057017004",1158,236,112,"bg",0.1954005768,5926.2875215832,9.67184801381693
"340057021011",2471,274,342,"bg",0.3647664306,6774.19793245634,13.8405503844597
"340057021012",1565,308,254,"bg",0.1855353357,8435.05089796218,16.2300319488818
"340057021013",78,60,18,"bg",0.126509526,616.554361289758,23.0769230769231
"340057022031",2173,328,133,"bg",0.5545932678,3918.18676166051,6.12057063966866
"340057022032",1198,282,93,"bg",13.7539962846,87.1019575118957,7.76293823038397
"340057022041",2314,259,336,"bg",9.7046412606,238.44261089739,14.5203111495246
"340057022061",2074,254,261,"bg",6.1654695102,336.389628813966,12.5843780135005
"340057022071",868,236,78,"bg",3.7043642493,234.318209977332,8.98617511520737
"340057022072",2243,284,180,"bg",0.8787616695,2552.45543569991,8.02496656263932
"340057022081",1283,439,62,"bg",14.8942758393,86.1404752968707,4.83242400623539
"340057022082",869,324,51,"bg",0.7091158932,1225.46964231544,5.86881472957422
"340057022083",1189,264,67,"bg",0.354350997,3355.43009633468,5.6349873843566
"340057022084",1426,453,83,"bg",0.5724233658,2491.16315859516,5.82047685834502
"340057022085",2133,405,119,"bg",0.4715396829,4523.47931118312,5.57899671823722
"340057022091",2129,356,155,"bg",0.7710741324,2761.08341667928,7.28041333959605
"340057022092",1208,381,92,"bg",1.0129094118,1192.60418150653,7.6158940397351
"340057022101",2403,431,198,"bg",0.4434312168,5419.10426907049,8.23970037453183
"340057022102",2158,439,158,"bg",0.8995867452,2398.87927597268,7.32159406858202
"340057023001",1511,157,338,"bg",0.5849677548,2583.04836053162,22.3692918596956
"340057024001",1186,199,192,"bg",10.4065131456,113.967088054028,16.1888701517707
"340057024002",1095,167,203,"bg",9.9937251414,109.568752843107,18.5388127853881
"340057024003",1082,164,178,"bg",8.7556765725,123.576972155226,16.4510166358595
"340057025001",1768,363,96,"bg",0.519640407,3402.35281202834,5.42986425339367
"340057025002",2140,316,114,"bg",4.6250208576,462.700616037974,5.32710280373832
"340057025003",2128,343,102,"bg",0.5847488361,3639.16927854489,4.79323308270677
"340057026011",1058,248,78,"bg",0.1819253007,5815.57373234563,7.37240075614367
"340057026012",980,226,87,"bg",0.1663368993,5891.65725779523,8.87755102040816
"340057026013",838,168,92,"bg",0.3280023747,2554.85955175312,10.9785202863962
"340057026014",449,167,41,"bg",0.1999144719,2245.96046365566,9.13140311804009
"340057026015",874,246,82,"bg",0.131366664,6653.13385746022,9.38215102974828
"340057026031",708,167,110,"bg",0.1136856006,6227.70162855611,15.5367231638418
"340057026032",540,176,64,"bg",0.089984466,6001.03577877542,11.8518518518519
"340057026033",1474,247,180,"bg",0.1562257125,9435.06658675024,12.2116689280868
"340057027001",959,277,47,"bg",0.1764577386,5434.72906095602,4.90093847758081
"340057027002",2794,517,132,"bg",4.9104614988,568.989289638619,4.7244094488189
"340057027003",4047,602,231,"bg",5.430052485,745.296663555177,5.70793180133432
"340057027004",959,319,56,"bg",0.4597837101,2085.76332508915,5.83941605839416
"340057028011",2079,194,224,"bg",0.5026589568,4136.00508232305,10.7744107744108
"340057028021",1900,332,151,"bg",0.3709131426,5122.4930631509,7.94736842105263
"340057028022",1556,387,114,"bg",0.2759394924,5638.91738172959,7.32647814910026
"340057028031",1758,376,161,"bg",0.3411239832,5153.5514551297,9.15813424345848
"340057028032",2075,383,149,"bg",0.3336911721,6218.3245272613,7.18072289156627
"340057028041",1470,209,164,"bg",0.2552954976,5758.03339196845,11.156462585034
"340057028042",1151,268,135,"bg",0.2163631041,5319.76098599521,11.7289313640313
"340057028051",1263,305,94,"bg",0.5478164406,2305.51678700385,7.44259699129058
"340057028052",2837,477,149,"bg",0.2769985647,10241.9303257855,5.25202678886147
"340057028061",1934,369,173,"bg",0.40779882,4742.53456643156,8.94519131334023
"340057028062",1551,359,102,"bg",0.3119491089,4971.96483576812,6.57640232108317
"340057028071",1593,311,109,"bg",0.3055020111,5214.36829258241,6.84243565599498
"340057028072",1626,356,108,"bg",0.5039508474,3226.50514110436,6.64206642066421
"340057028081",995,244,94,"bg",0.2322982233,4283.28717226138,9.44723618090452
"340057028082",2209,336,162,"bg",0.3484112346,6340.2088699467,7.33363512901766
"340057028091",1859,201,166,"bg",0.3087213129,6021.61212174607,8.92953200645508
"340057028101",1175,161,138,"bg",1.3500388044,870.345353163539,11.7446808510638
"340057028111",2431,217,315,"bg",0.8350176978,2911.31554026327,12.9576306046894
"340057029051",1796,305,187,"bg",0.8289748467,2166.53135755512,10.4120267260579
"340057029052",2369,270,214,"bg",0.4466794761,5303.57924810864,9.03334740396792
"340057029061",2097,159,346,"bg",2.9658711654,707.043523826559,16.4997615641392
"340057029071",789,179,77,"bg",0.4694613066,1680.64969126893,9.75918884664132
"340057029072",1962,199,194,"bg",0.5775662178,3397.01308617639,9.88786952089704
"340057029081",1605,220,136,"bg",0.6740414109,2381.15933835127,8.47352024922118
"340057029082",1781,303,156,"bg",1.2836037357,1387.49985721158,8.75912408759124
"340057029083",694,181,56,"bg",0.3215572074,2158.24737878352,8.06916426512968
"340057029091",1228,306,78,"bg",0.6186538215,1984.95500605261,6.35179153094463
"340057029092",3264,533,168,"bg",1.0448024301,3124.03561282643,5.14705882352941
"340057029093",1685,393,91,"bg",0.5324716683,3164.48761561273,5.40059347181009
"340057029101",2387,412,107,"bg",4.7287616805,504.783315649692,4.48261416003352
"340057029102",3067,453,164,"bg",1.8286966269,1677.15079411459,5.34724486468862
"340057029131",714,204,47,"bg",0.0840910356,8490.79803697887,6.58263305322129
"340057029132",1513,529,60,"bg",0.1794963456,8429.14096631057,3.96563119629874
"340057029133",2390,325,124,"bg",0.5787592668,4129.52351193351,5.18828451882845
"340057029141",2077,315,190,"bg",0.7844683275,2647.65310107437,9.1478093403948
"340057029142",2385,303,221,"bg",1.6954890381,1406.67379523296,9.26624737945493
"340057029151",2202,245,222,"bg",0.5862855141,3755.84923564121,10.0817438692098
"340057029152",2276,286,197,"bg",0.3338927163,6816.56079599841,8.65553602811951
